id,name,birthdate,deathdate
81,Agata Kulesza,9/27/71,
82,Agata Trzebuchowska,,
83,Agnes Bruckner,8/16/85,
84,Agnes Moorehead,12/6/00,4/30/74
85,Agnia Ditkovskite,5/11/88,
86,Agnieszka Holland,11/28/48,
87,Agnieszka Wojtowicz-Vosloo,,
88,Agustín Díaz Yanes,,
89,Ah-sung Ko,8/10/92,
90,Ahmad Massad,,
91,Ahmed Best,8/19/73,
92,Ahmed Hassan,,
93,Ahmet Ertegun,7/31/23,12/14/06
94,Ahna O'Reilly,9/21/84,
95,Ahney Her,,
96,Aida Elkashef,,
97,Aida Folch,11/24/86,
98,Aida Turturro,9/25/62,
99,Aidan McArdle,,
100,Aidan Quinn,3/8/59,
101,Aidan Turner,6/19/83,
102,Aimee Garcia,11/28/78,
103,Aimee Teegarden,10/10/89,
104,Aisha Hinds,11/13/75,
105,Aisha Tyler,9/18/70,
106,Aitana Sánchez-Gijón,11/5/68,
107,AJ Michalka,4/10/91,
108,Ajay Naidu,2/12/72,
109,Aki Aleong,12/19/34,
110,Aki Kaurismäki,4/4/57,
111,Akie Kotabe,7/18/80,
112,Akima,,7/27/14
113,Akira Kurosawa,3/23/10,9/6/98
114,Akira Terao,5/18/47,
115,Akiva Goldsman,7/7/62,
116,Akiva Schaffer,12/1/77,
117,Akon,4/16/73,
118,Aksel Hennie,10/29/75,
119,Akshaye Khanna,3/28/75,
120,Al Cliver,7/16/51,
121,Al Franklin,,
122,Al Freeman Jr.,3/21/31,8/9/12
123,Al Gore,3/31/48,
124,Al Leong,9/30/52,
125,Al Pacino,4/25/40,
126,Al Roker,8/20/54,
127,Al Sapienza,7/31/56,
128,Al Silliman Jr.,4/7/41,
129,Alain Delon,11/8/35,
130,Alain Resnais,6/3/22,3/1/14
131,Alan Alda,1/28/36,
132,Alan Autry,7/31/52,
133,Alan Bates,2/17/34,12/27/03
134,Alan Brent,,
135,Alan Cohn,1/12/57,
136,Alan D. Purwin,8/28/61,9/11/15
137,Alan Dale,5/6/47,
138,Alan David,11/30/47,
139,Alan Ford,2/23/38,
140,Alan Hale,5/6/47,
141,Alan Hale Jr.,3/8/21,1/2/90
142,Alan J. Pakula,4/7/28,11/19/98
143,Alan Jacobs,,
144,Alan Metter,8/19/33,
145,Alan Oppenheimer,4/23/30,
146,Alan Parker,2/14/44,
147,Alan Pietruszewski,,
148,Alan Poul,,
149,Alan Rickman,2/21/46,1/14/16
150,Alan Ruck,7/1/56,
151,Alan Rudolph,12/18/43,
152,Alan Shapiro,,
153,Alan Taylor,,
154,Alan Van Sprang,6/19/71,
155,Alan Williams,,
156,Alan Young,11/19/19,5/19/16
157,Alan Yuen,,
158,Alana Kaniewski,,
159,Alanna Ubach,10/3/75,
160,Alastair Duncan,,
161,Alba Rohrwacher,2/27/79,
162,Albert Brooks,7/22/47,
163,Albert Delpy,9/13/41,
164,Albert Dupontel,1/11/64,
165,Albert Finney,5/9/36,
166,Albert Hughes,4/1/72,
167,Albert Maysles,11/26/26,3/5/15
168,Albert Salmi,3/11/28,4/22/90
169,Alden Ehrenreich,11/22/89,
170,Aldis Hodge,9/20/86,
171,Aldo Sambrell,2/23/31,7/10/10
172,Alec Asten,,
173,Alejandro Agresti,6/2/61,
174,Alejandro Amenábar,3/31/72,
175,Alejandro Furth,,
176,Alejandro G. Iñárritu,8/15/63,
177,Alejandro Monteverde,7/13/77,
178,Aleksa Palladino,9/21/80,
179,Aleksandr Bashirov,9/24/55,
180,Aleksandr Veledinskiy,7/27/59,
181,Aleksey Chadov,9/2/81,
182,Aleksey German,9/4/76,
183,Aleksey Serebryakov,6/3/64,
184,Alessandra Mastronardi,2/18/86,
185,Alessandro Carloni,,
186,Alessandro Nivola,6/28/72,
187,Alessandro Preziosi,4/19/73,
188,Álex Angulo,4/12/53,7/20/14
189,Alex Borstein,2/15/73,
190,Alex Cox,12/15/54,
191,Alex Craig Mann,,
192,Álex de la Iglesia,12/4/65,
193,Alex Désert,7/18/68,
194,Alex Emanuel,,
195,Alex Garland,5/26/70,
196,Alex Gibney,10/23/53,
197,Alex Huszar,,
198,Alex Jennings,5/10/57,
199,Alex Karpovsky,,
200,Alex Kendrick,,
201,Alex Lawther,,
202,Alex Macqueen,,
203,Alex McArthur,3/6/57,
204,Alex Meraz,1/10/85,
205,Alex Pettyfer,4/10/90,
206,Alex Proyas,9/23/63,
207,Alex Ranarivelo,,
208,Alex Rivera,,
209,Alex Rocco,2/29/36,7/18/15
210,Alex Russell,12/11/87,
211,Alex Sanborn,,
212,Alex Smith,,
213,Alex van Warmerdam,8/14/52,
214,Alex Veadov,4/15/62,
215,Alex Vincent,4/29/81,
216,Alex Winter,,
217,Alex Zamm,,
218,Alexa Davalos,5/28/82,
219,Alexa Havins,11/16/80,
220,Alexa PenaVega,8/27/88,
221,Alexander Gould,5/4/94,
222,Alexander Payne,2/10/61,
223,Alexander Skarsgård,8/25/76,
224,Alexander Vlahos,,
225,Alexander Witt,,
226,Alexander Wraith,6/29/79,
227,Alexandra Breckenridge,5/15/82,
228,Alexandra Callas,,
229,Alexandra Holden,4/30/77,
230,Alexandra Maria Lara,11/12/78,
231,Alexandra Rapaport,12/26/71,
232,Alexandra Silber,7/3/83,
233,Alexandre Aja,8/7/78,
234,Alexandre Rodrigues,5/21/83,
235,Alexandru Potocean,4/21/84,
236,Alexia Fast,9/12/92,
237,Alexia Rasmussen,,
238,Alexis Arquette,7/28/69,9/11/16
239,Alexis Biesiada,,
240,Alexis Dziena,7/8/84,
241,Alexis Kendra,,
242,Alfie Allen,9/12/86,
243,Alfonso Cuarón,11/28/61,
244,Alfre Woodard,11/8/52,
245,Alfred Enoch,12/2/88,
246,Alfred Hitchcock,1899-08-13,4/29/80
247,Ali Daniels,6/13/63,
248,Ali Hillis,12/29/78,
249,Alia Shawkat,4/18/89,
250,Alice Braga,4/15/83,
251,Alice Cooper,2/4/48,
252,Alice Englert,6/15/94,
253,Alice Evans,,
254,Alice Greczyn,2/6/86,
255,Alice Krige,6/28/54,
256,Alice Olivia Clarke,,
257,Alice Playten,8/28/47,6/25/11
258,Alice Pol,,
259,Alice Wu,4/21/70,
260,Alicia Goranson,6/22/74,
261,Alicia Keys,1/25/81,
262,Alicia Sixtos,5/27/88,
263,Alicia Witt,8/21/75,
264,Alicia Ziegler,5/2/81,
265,Alicja Bachleda,5/12/83,
266,Aliou Touré,,
267,Alisha Boe,3/6/97,
268,Alison Brie,12/29/82,
269,Alison Chand,,
270,Alison Doody,11/11/66,
271,Alison Lohman,9/18/79,
272,Alison Maclean,,
273,Alissa Dean,,
274,Alister Grierson,,
275,Alix Freihage,,
276,Allan Arkush,4/30/48,
277,Allan Dwan,1885-04-03,12/28/81
278,Allegra Carpenter,,
279,Allen Coulter,,
280,Allen Covert,10/13/64,
281,Allen Hughes,4/1/72,
282,Allen Leech,5/18/81,
283,Allen Payne,7/7/68,
284,Allison Anders,11/16/54,
285,Allison Burnett,,
286,Allison Dean,,
287,Allison Miller,9/2/85,
288,Allison Tolman,11/18/81,
289,Ally Sheedy,6/13/62,
290,Ally Walker,8/25/61,
291,Alma Martinez,3/18/53,
292,Alona Tal,10/20/83,
293,Alonna Shaw,,
294,Alun Armstrong,7/17/46,
295,Alycia Debnam-Carey,,
296,Alyson Hannigan,3/24/74,
297,Alyson Stoner,8/11/93,
298,Amal Al-Agroobi,,
299,Amanda Detmer,9/27/71,
300,Amanda Gusack,,
301,Amanda Kearsan,,
302,Amanda MacDonald,,
303,Amanda Mealing,4/22/67,
304,Amanda Plummer,3/23/57,
305,Amanda Redman,8/12/57,
306,Amanda Schull,8/26/78,
307,Amanda Tilson,,
308,Amanda Troop,,
309,Amanda Wyss,11/24/60,
310,Amat Escalante,2/28/79,
311,Amber Armstrong,,
312,Amber Benson,1/8/77,
313,Amber Marie Bollinger,,
314,Amber Marshall,6/2/88,
315,Amber Rose Revah,6/24/86,
316,Amber Stevens West,10/7/86,
317,Amber Valletta,2/9/74,
318,Amelia Giancarlo,,
319,Amelia Warner,6/4/82,
320,America Ferrera,4/18/84,
321,America Olivo,1/5/78,
322,Ami Ayalon,,
323,Amiah Miller,,
324,Amidou,8/2/35,9/19/13
325,Amir Farrokh Hashemian,,
326,Amir Talai,6/24/77,
327,Aml Ameen,7/30/85,
328,Amos Oz,5/4/39,
329,Amr Waked,4/12/73,
330,Amrish Puri,6/22/32,1/12/05
331,Amy Badberg,,
332,Amy Brenneman,6/22/64,
333,Amy Bruni,,
334,Amy Carson,,
335,Amy Hargreaves,1/27/70,
336,Amy Heckerling,5/7/52,
337,Amy Hill,5/9/53,
338,Amy Holden Jones,,
339,Amy Irving,9/10/53,
340,Amy Locane,12/19/71,
341,Amy Lucas,,
342,Amy Madigan,9/11/50,
343,Amy Poehler,9/16/71,
344,Amy Ryan,5/3/68,
345,Amy Schumer,6/1/81,
346,Amy Sedaris,3/29/61,
347,Amy Steel,5/3/60,
348,Amy Stewart,,
349,Amy Warren,,
350,Amy Yasbeck,9/12/62,
351,Ana Claudia Talancón,5/1/80,
352,Ana de la Reguera,4/8/77,
353,Ana Gasteyer,5/4/67,
354,Ana Imnadze,,
355,Ana Maria Guran,10/6/95,
356,Ana Vatamanu,,
357,Analeine Cal y Mayor,,
358,Anamaria Marinca,4/1/78,
359,Anand Tucker,6/24/63,
360,Anatoliy Solonitsyn,8/30/34,6/11/82
361,Anders Holm,,
362,Andre Braugher,7/1/62,
363,André Dussollier,2/17/46,
364,André Øvredal,,
365,André Ramiro,1/14/81,
366,André Téchiné,,
367,André the Giant,5/19/46,1/27/93
368,André Wilms,,
369,Andrea Arnold,4/5/61,
370,Andrea Corr,12/12/60,
371,Andrea Di Stefano,12/15/72,
372,Andrea Frankle,,
373,Andrea Martin,1/15/47,
374,Andrea Ros,5/3/93,
375,Andrea Savage,2/20/73,
376,Andrea Vergara,11/10/84,
377,Andrei Tarkovsky,4/4/32,12/29/86
378,Andrej Nahtigal,9/4/42,
379,Andrés Couturier,2/5/77,
380,Andrés Montiel,1/30/75,
381,Andrés Muschietti,,
382,Andrew Adamson,12/1/66,
383,Andrew Airlie,9/18/61,
384,Andrew Berends,,
385,Andrew Bergman,2/20/45,
386,Andrew Bryniarski,2/13/69,
387,Andrew Bujalski,,
388,Andrew Currie,,
389,Andrew Daly,4/15/71,
390,Andrew Davis,11/21/46,
391,Andrew Dice Clay,9/29/57,
392,Andrew Dominik,10/7/67,
393,Andrew Douglas,,
394,Andrew Erwin,,
395,Andrew Fiscella,5/25/66,
396,Andrew Fleming,12/30/65,
397,Andrew Garfield,8/20/83,
398,Andrew Haigh,,
399,Andrew Hyatt,8/19/82,
400,Andrew Jarecki,,
401,Andrew Keegan,1/29/79,
402,Andrew Keir,4/3/26,10/5/97
403,Andrew Lawrence,8/11/66,
404,Andrew Leman,,
405,Andrew Morahan,,
406,Andrew Niccol,6/10/64,
407,Andrew Rannells,8/23/78,
408,Andrew Robinson,2/14/42,
409,Andrew Simpson,,
410,Andrew Stanton,12/3/65,
411,Andrew Steggall,,
412,Andrew Traucki,,
413,Andrew Wilson,,
414,Andrey Konchalovskiy,8/20/37,
415,Andrey Zvyagintsev,2/6/64,
416,Andrucha Waddington,,
417,Andrzej Bartkowiak,3/6/50,
418,Andy Cadiff,,
419,Andy Cohn,,
420,Andy Davoli,9/2/73,
421,Andy Dick,12/21/65,
422,Andy Fickman,,
423,Andy Garcia,4/12/56,
424,Andy Lau,9/27/61,
425,Andy On,5/11/77,
426,Andy Richter,10/28/66,
427,Andy Tennant,6/15/55,
428,Ane Dahl Torp,8/1/75,
429,Anella Vastola,,
430,Ang Lee,10/23/54,
431,Angel Coulby,8/30/80,
432,Angel David,,
433,Angela Bettis,1/9/73,
434,Angela Cartwright,9/9/52,
435,Angela Featherstone,4/3/65,
436,Angela Jones,,
437,Ángela Molina,10/5/55,
438,Angela Nordeng,,
439,Angela Robinson,2/14/71,
440,Angela Sarafyan,6/30/83,
441,Angelica Lee,1/23/76,
442,Angélica Sancio,,
443,Angeliki Papoulia,,
444,Angelina Armani,11/18/87,
445,Angelina Jolie Pitt,6/4/75,
446,Angell Conwell,8/2/83,
447,Angelo Anthony Pizza,,
448,Angelo Pizzo,,
449,Angelo Rossitto,2/18/08,9/21/91
450,Angelo Tsarouchas,,
451,Angie Dickinson,9/30/31,
452,Angus Barnett,,
453,Angus Macfadyen,9/21/63,
454,Angus Sampson,2/12/79,
455,Angus Scrimm,8/19/26,1/9/16
456,Angus T. Jones,10/8/93,
457,Anika Noni Rose,9/6/72,
458,Anil Kapoor,12/24/56,
459,Anil Kumar,,
460,Anita Briem,5/29/82,
461,Anita Mui,10/10/63,12/30/03
462,Anita Page,8/4/10,9/6/08
463,Anjelica Huston,7/8/51,
464,Ann Dowd,1/30/56,
465,Ann Gillis,2/12/27,
466,Ann Miller,4/12/23,1/22/04
467,Ann Morgan Guilbert,10/16/28,6/14/16
468,Ann Talman,9/13/57,
469,Ann-Margret,4/28/41,
470,Anna Boden,,
471,Anna Friel,7/12/76,
472,Anna Gunn,8/11/68,
473,Anna Harr,,
474,Anna Karina,9/22/40,
475,Anna Katarina,,
476,Anna Katharina Schwabroh,,
477,Anna Kendrick,8/9/85,
478,Anna Madeley,,
479,Anna Mastro,,
480,Anna Muylaert,4/21/64,
481,Anna Nakagawa,8/30/65,10/17/14
482,Anna Silk,1/31/74,
483,Anna Vareschi,,
484,Anna-Louise Plowman,5/9/72,
485,Annabel Jankel,8/1/55,
486,Annabella Sciorra,3/29/60,
487,Annabelle Wallis,,
488,Annabeth Gish,3/13/71,
489,Anne Archer,8/24/47,
490,Anne Bancroft,9/17/31,6/6/05
491,Anne Fletcher,5/1/66,
492,Anne Fontaine,7/15/59,
493,Anne Hathaway,11/12/82,
494,Anne Heche,5/25/69,
495,Anne Meara,9/20/29,5/23/15
496,Anne Parillaud,5/6/60,
497,Anne-Marie Duff,10/8/70,
498,Anneliese van der Pol,9/23/84,
499,Annelyse Ahmad,,
500,Annet Mahendru,,
501,Annette Badland,8/26/50,
502,Annie Golden,10/19/51,
503,Annie Parisse,7/31/75,
504,Anslem Richardson,,
505,Anthony 'Citric' Campos,,
506,Anthony Bell,,
507,Anthony Burrell,,
508,Anthony Chau-Sang Wong,9/2/61,
509,Anthony Daniels,,
510,Anthony Edwards,7/19/62,
511,Anthony Heald,2/20/54,
512,Anthony Hemingway,,
513,Anthony Hickox,,
514,Anthony Hopkins,12/31/37,
515,Anthony Johnson,,
516,Anthony L. Fernandez,,
517,Anthony LaPaglia,1/31/59,
518,Anthony Mann,6/30/06,4/29/67
519,Anthony Minghella,1/6/54,3/18/08
520,Anthony O'Brien,,
521,Anthony Powell,6/2/35,
522,Anthony Reynolds,5/8/68,
523,Anthony Russo,1/31/77,
524,Anthony Silverston,,
525,Anthony Simcoe,6/7/69,
526,Anthony Vallone,,
527,Anthony Zerbe,5/20/36,
528,Antoine Fuqua,1/19/66,
529,Anton Corbijn,5/20/55,
530,Antoni Corone,,
531,Antonia Bird,5/27/51,10/24/13
532,Antonia Thomas,11/3/86,
533,Antonio Arrué,,
534,Antonio Banderas,8/10/60,
535,Antonio de la Torre,1/18/68,
536,Antonio Sabato Jr.,2/29/72,
537,Antonio Simoncini,,
538,Antony Hoffman,,
539,Antony Starr,10/25/75,
540,Anupam Kher,3/7/55,
541,Anurag Basu,,
542,Anushka Shetty,11/7/81,
543,Anwar Congo,,
544,April Winchell,1/4/60,
545,Ara Celi,6/19/67,
546,Aramis Knight,10/3/99,
547,Arben Bajraktaraj,,
548,Arcelia Ramírez,12/7/67,
549,Archie Kao,12/14/69,
550,Archie Panjabi,5/31/72,
551,Aretha Franklin,3/25/42,
552,Ari Folman,12/17/62,
553,Ari Gold,,
554,Ari Graynor,4/27/83,
555,Ari Kirschenbaum,,
556,Ari Sandel,,
557,Aria Noelle Curzon,12/8/87,
558,Ariana Neal,,
559,Ariana Richards,9/11/79,
560,Ariane Labed,,
561,Ariane Schluter,2/1/66,
562,Arie Posin,,
563,Ariel Gade,5/1/97,
564,Ariel Hsing,,
565,Ariel Vromen,2/14/73,
566,Aries Spears,4/3/75,
567,Arik Ascherman,,
568,Arjun Rampal,11/26/72,
569,Arjun Sablok,,
570,Arliss Howard,10/18/54,
571,Arly Jover,2/2/71,
572,Armando Riesco,12/5/77,
573,Armin Mueller-Stahl,12/17/30,
574,Armin Rohde,4/4/55,
575,Armin Shimerman,11/5/49,
576,Art Carney,11/4/18,11/9/03
577,Art Hindle,7/21/48,
578,Art Malik,11/13/52,
579,Arthur Agee,11/22/72,
580,Arthur Hiller,11/22/23,8/17/16
581,Arthur O'Connell,3/29/08,5/18/81
582,Arturo Castro,12/19/55,
583,Artyom Bogucharskiy,8/14/89,
584,Aryana Engineer,3/6/01,
585,Asger Leth,,
586,Asghar Farhadi,,
587,Ash Baron-Cohen,,
588,Ash Brannon,,
589,Ash Cook,,
590,Ashanti,10/13/80,
591,Ashish R. Mohan,,
592,Ashleigh Gryzko,,
593,Ashley Ashida Dixon,,
594,Ashley Bell,5/26/86,
595,Ashley Gerasimovich,,
596,Ashley Hinshaw,12/11/88,
597,Ashley Laurence,5/28/66,
598,Ashley Martin,,
599,Ashley Palmer,11/13/78,
600,Ashley Rickards,5/4/92,
601,Ashley Scott,7/13/77,
602,Ashley Tramonte,,
603,Ashley Walters,6/30/82,
604,Ashley Williams,11/12/78,
605,Ashraf Barhom,,
606,Asin,10/26/85,
607,Athina Rachel Tsangari,4/2/66,
608,Ato Essandoh,7/29/72,
609,Atom Egoyan,7/19/60,
610,Atsuko Maeda,7/10/91,
611,Atticus Shaffer,6/19/98,
612,Aubrey Poo,,
613,Audrey Fleurot,7/6/77,
614,Audrey Wells,4/29/60,
615,August Diehl,1/4/76,
616,Augustus Prew,9/17/87,
617,Aunjanue Ellis,2/21/69,
618,Austin Lyon,,
619,Austin Nichols,4/24/80,
620,Austin O'Brien,5/11/81,
621,Austin Pendleton,3/27/40,
622,Ava Acres,,
623,Ava DuVernay,8/24/72,
624,Ava Gardner,12/24/22,1/25/90
625,Avery Schreiber,4/9/35,1/7/02
626,Avi Nesher,,
627,Ayan Mukerji,,
628,Ayelet Zurer,6/28/69,
629,Ayesha Omar,10/12/81,
630,Ayla Kell,10/7/90,
631,Ayush Mahesh Khedekar,,
632,Aziz Muradillayev,,
633,Azura Skye,11/8/81,
634,B.J. Novak,7/31/79,
635,Babak Najafi,9/14/75,
636,Babar Ahmed,,
637,Bahare Seddiqi,,
638,Bai Ling,,
639,Bailee Madison,10/15/99,
640,Balinese Tari Legong Dancers,,
641,Bálint Péntek,,
642,Baltasar Kormákur,2/27/66,
643,Balthazar Getty,1/22/75,
644,Bam Margera,9/28/79,
645,Barack Obama,8/4/61,
646,Barbara Bach,8/27/47,
647,Barbara Billingsley,12/22/15,10/16/10
648,Barbara Carrera,12/31/45,
649,Bárbara Goenaga,7/20/83,
650,Barbara Hershey,2/5/48,
651,Barbara Kowalcyk,,
652,Bárbara Mori,2/2/78,
653,Barbet Schroeder,8/26/41,
654,Barbie Castro,,
655,Barbra Streisand,4/24/42,
656,Bari Hyman,,
657,Barnard Hughes,7/16/15,7/11/06
658,Barney Clark,12/13/73,
659,Barney Frank,3/31/40,
660,Barret Oliver,8/24/73,
661,Barrett Esposito,,
662,Barry Bostwick,2/24/45,
663,Barry Cook,,
664,Barry Corbin,10/16/40,
665,Barry Dennen,2/22/38,
666,Barry Fitzgerald,1888-03-10,1/14/61
667,Barry Levinson,4/6/42,
668,Barry Lynch,8/28/59,
669,Barry Shabaka Henley,9/15/54,
670,Barry Skolnick,10/8/66,
671,Barry Sonnenfeld,4/1/53,
672,Barry W. Blaustein,,
673,Barry Watson,4/23/74,
674,Bart Freundlich,1/17/70,
675,Bart Shatto,2/23/65,
676,Bart the Bear,,
677,Bashar Rahal,10/20/74,
678,Basher Savage,,
679,Basil Rathbone,1892-06-13,7/21/67
680,Baz Luhrmann,9/17/62,
681,Béatrice Bonifassi,,
682,Béatrice Dalle,12/19/64,
683,Beatrice Ntuba,,
684,Beatrice Straight,8/2/14,4/7/01
685,Beau Bridges,12/9/41,
686,Beau Garrett,12/28/82,
687,Beau Knapp,,
688,Beau Mirchoff,1/13/89,
689,Bebe Neuwirth,12/31/58,
690,Becky Smith,,
691,Beeban Kidron,5/2/61,
692,Behrouz Vossoughi,,
693,Belén Rueda,3/16/65,
694,Bella Heathcote,5/27/87,
695,Bella Thorne,10/8/97,
696,Ben Affleck,8/15/72,
697,Ben Browder,12/11/62,
698,Ben Chaplin,7/31/70,
699,Ben Crompton,,
700,Ben Cross,12/16/47,
701,Ben Daniels,6/10/64,
702,Ben Davies,,
703,Ben Diskin,8/25/82,
704,Ben Falcone,,
705,Ben Feldman,5/27/80,
706,Ben Gazzara,8/28/30,2/3/12
707,Ben Johnson,6/13/18,4/8/96
708,Ben Lewin,,
709,Ben Mendelsohn,4/3/69,
710,Ben Miles,,
711,Ben Miller,2/24/66,
712,Ben Platt,9/24/93,
713,Ben Schwartz,,
714,Ben Stassen,,
715,Ben Stein,11/25/44,
716,Ben Stiller,11/30/65,
717,Ben Vereen,10/10/46,
718,Ben Wheatley,,
719,Ben Youcef,2/19/79,
720,Ben Younger,10/7/72,
721,Benedek Fliegauf,8/15/74,
722,Benedict Cumberbatch,7/19/76,
723,Benedict Wong,,
724,Benedikt Erlingsson,5/31/69,
725,Benh Zeitlin,,
726,Benjamin A. Onyango,,
727,Benjamin Dickinson,,
728,Benjamin Fletcher,,
729,Benjamin J. Cain Jr.,,
730,Benjamin Roberds,,
731,Benjamin Walker,6/21/82,
732,Bennett Miller,12/30/66,
733,Benni Diez,,
734,Benno Fürmann,1/17/72,
735,Benny Boom,,
736,Benoît Magimel,5/11/74,
737,Benoît Poelvoorde,9/22/64,
738,Benson Lee,,
739,Bérénice Bejo,7/7/76,
740,Bergüzar Korel,9/2/82,
741,Bern Cohen,,
742,Bernadette Peters,2/28/48,
743,Bernard Cribbins,12/29/28,
744,Bernard Fox,5/11/27,12/14/16
745,Bernard Hill,12/17/44,
746,Bernardo Bertolucci,3/16/41,
747,Bernardo Saracino,,
748,Bernie Casey,6/8/39,
749,Bernie Mac,10/5/57,8/9/08
750,Bernie Sanders,9/8/41,
751,Bertrand Cantat,3/5/64,
752,Bess Armstrong,12/11/53,
753,Bessie Love,1898-09-10,4/26/86
754,Beth Broderick,2/24/59,
755,Beth Grant,9/18/49,
756,Beth Riesgraf,8/24/78,
757,Bethany Blakey,,
758,Bethany Joy Lenz,4/2/81,
759,Beto Gómez,5/12/69,
760,Betsy Baker,,
761,Betsy Palmer,11/1/26,5/29/15
762,Betsy Russell,9/6/63,
763,Betty Hutton,2/26/21,3/11/07
764,Betty Thomas,7/27/47,
765,Beverly D'Angelo,11/15/51,
766,Beverly Randolph,,
767,Bhama,,
768,Bhavkhandan Singh Rakhra,,
769,Bhole Baba,,
770,Bhoomika Chawla,8/21/78,
771,Bianca Brigitte VanDamme,10/17/90,
772,Bianca Collins,8/17/88,
773,Bianca Kajlich,3/26/77,
774,Bibo Bergeron,,
775,Big Budah,,
776,Bigas Luna,3/19/46,4/6/13
777,Bill Allen,,
778,Bill Bailey,11/21/80,
779,Bill Baird,,
780,Bill Benenson,,
781,Bill Clinton,8/19/46,
782,Bill Cobbs,6/16/34,
783,Bill Condon,10/22/55,
784,Bill Duke,2/26/43,
785,Bill Erwin,12/2/14,12/29/10
786,Bill Fagerbakke,10/4/57,
787,Bill Farmer,11/14/52,
788,Bill Hickman,1/25/21,2/24/86
789,Bill Hunter,2/27/40,5/21/11
790,Bill Irwin,4/11/50,
791,Bill Johnson,,
792,Bill Lake,3/24/79,
793,Bill Maher,1/20/56,
794,Bill Martone,,
795,Bill Melendez,11/15/16,9/2/08
796,Bill Muir,,
797,Bill Murray,9/21/50,
798,Bill Nunn,10/20/53,9/24/16
799,Bill Paterson,6/3/45,
800,Bill Paxton,5/17/55,2/25/17
801,Bill Plympton,4/30/46,
802,Bille August,11/9/48,
803,Bille Woodruff,,
804,Billie Burke,1884-08-07,5/14/70
805,Billie Whitelaw,6/6/32,12/21/14
806,Billy Aaron Brown,7/28/81,
807,Billy Barty,10/25/24,12/23/00
808,Billy Blair,,
809,Billy Bob Thornton,8/4/55,
810,Billy Boyd,8/28/68,
811,Billy Brown,,
812,Billy Burke,11/25/66,
813,Billy Campbell,7/7/59,
814,Billy Crudup,7/8/68,
815,Billy Drago,11/30/45,
816,Billy Gardell,8/20/69,
817,Billy Gilbert,1880-03-21,1/20/71
818,Billy Kent,,
819,Billy Ray,,
820,Billy West,4/16/52,
821,Billy Wilder,6/22/06,3/27/02
822,Bin Won,11/10/77,
823,Bingbing Fan,9/16/81,
824,Bingbing Li,2/27/73,
825,Bipasha Basu,1/7/79,
826,Birgitte Hjort Sørensen,1/16/82,
827,Birol Ünel,8/18/61,
828,Björk,,
829,Björn Hlynur Haraldsson,,
830,Bjørn Sundquist,6/16/48,
831,Black Thomas,8/28/69,
